tag_name,published_at,name,body
1.96.4,2025-01-16T23:26:14Z,November 2024 Recovery 4,"The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22November+2024+Recovery+4%22+is%3Aclosed+).

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_96) on [code.visualstudio.com](https://code.visualstudio.com)."
1.96.3,2025-01-13T14:09:12Z,November 2024 Recovery 3,"The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22November+2024+Recovery+3%22+is%3Aclosed+).

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_96) on [code.visualstudio.com](https://code.visualstudio.com)."
1.96.2,2024-12-19T19:04:30Z,November 2024 Recovery 2,"The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22November+2024+Recovery+2%22+is%3Aclosed+).

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_96) on [code.visualstudio.com](https://code.visualstudio.com/)."
1.96.1,2024-12-18T17:41:53Z,November 2024 Recovery 1,"The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22November+2024+Recovery+1%22+is%3Aclosed+).

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_96) on [code.visualstudio.com](https://code.visualstudio.com/)."
1.96.0,2024-12-11T19:13:33Z,November 2024,"Welcome to the November 2024 release of Visual Studio Code. There are many updates in this version that we hope you'll like, some of the key highlights include:

- [Overtype mode](https://code.visualstudio.com/updates/v1_96#_overtype-mode) - Switch between overwrite or insert mode in the editor
- [Add imports on paste](https://code.visualstudio.com/updates/v1_96#_configure-paste-and-drop-behavior) - Automatically add missing TS/JS imports when pasting code
- [Test coverage](https://code.visualstudio.com/updates/v1_96#_attributable-coverage) - Quickly filter which code is covered by a specific test
- [Move views](https://code.visualstudio.com/updates/v1_96#_move-views-between-primary-and-secondary-side-bar) - Easily move views between the Primary and Secondary Side Bar
- [Terminal ligatures](https://code.visualstudio.com/updates/v1_96#_ligature-support) - Use ligatures in the terminal
- [Extension allow list](https://code.visualstudio.com/updates/v1_96#_configure-allowed-extensions) - Configure which extensions can be installed in your organization
- [Debug with Copilot](https://code.visualstudio.com/updates/v1_96#_debugging-with-copilot) - Use copilot-debug terminal command to start a debugging session
- [Chat context](https://code.visualstudio.com/updates/v1_96#_add-context) - Add symbols and folders as context for Chat and Edits
- [Move from chat to Copilot Edits](https://code.visualstudio.com/updates/v1_96#_move-chat-session-to-copilot-edits) - Switch to Copilot Edits to apply code suggestions from Chat

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_96) on [code.visualstudio.com](https://code.visualstudio.com/).

Insiders: Want to see new features as soon as possible? You can download the nightly [Insiders](https://code.visualstudio.com/insiders) build and try the latest updates as soon as they are available. And for the latest Visual Studio Code news, updates, and content, follow us on Twitter [@code](https://twitter.com/code)!"
1.95.3,2024-11-14T22:20:37Z,October 2024 Recovery 3,"The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22October+2024+Recovery+3%22+is%3Aclosed+).

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_95) on [code.visualstudio.com](https://code.visualstudio.com)."
1.95.2,2024-11-07T23:10:05Z,October 2024 Recovery 2,"The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22October+2024+Recovery+2%22+is%3Aclosed+).

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_95) on [code.visualstudio.com](https://code.visualstudio.com)."
1.95.1,2024-10-31T22:10:39Z,October 2024 Recovery 1,"The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22October+2024+Recovery+1%22+is%3Aclosed+).

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_95) on [code.visualstudio.com](https://code.visualstudio.com)."
1.95.0,2024-10-29T17:15:45Z,October 2024,"Welcome to the October 2024 release of Visual Studio Code. There are many updates in this version that we hope you'll like, some of the key highlights include:

- [Copilot Edits](https://code.visualstudio.com/updates/v1_95#_start-a-code-editing-session-with-copilot-edits) - Iterate quickly on large changes across multiple files.
- [Copilot Chat in Secondary Side Bar](https://code.visualstudio.com/updates/v1_95#_chat-in-the-secondary-side-bar) - Keep Copilot Chat open and ready to-go while you work.
- [Multiple GitHub accounts](https://code.visualstudio.com/updates/v1_95#_multiple-github-accounts) - Log in to multiple GitHub accounts in VS Code simultaneously.
- [Copilot code reviews](https://code.visualstudio.com/updates/v1_95#_copilot-code-reviews) - Get a quick review pass or a deeper review of uncommitted changes.
- [Docstrings with Pylance](https://code.visualstudio.com/updates/v1_95#_generate-docstrings-with-pylance) - Generate docstring templates for classes or methods.
- [Preview settings indicator](https://code.visualstudio.com/updates/v1_95#_settings-editor-indicator-for-experimental-and-preview-settings) - View experimental and preview settings in the Settings editor.
- [Copilot extensibility](https://code.visualstudio.com/updates/v1_95#_copilot-extensions-showcase) - Showcasing Copilot extensibility in VS Code.

>If you'd like to read these release notes online, go to [Updates](https://code.visualstudio.com/updates) on [code.visualstudio.com](https://code.visualstudio.com).
**Insiders:** Want to try new features as soon as possible? You can download the nightly [Insiders](https://code.visualstudio.com/insiders) build and try the latest updates as soon as they are available."
1.94.2,2024-10-10T14:29:41Z,September Recovery 2,"The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue%20milestone%3A%22September%202024%20Recovery%202%22%20is%3Aclosed%20%20).

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_94) on [code.visualstudio.com](https://code.visualstudio.com)."
1.94.1,2024-10-08T17:30:36Z,September Recovery 1,"The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22September+2024+Recovery+1%22+is%3Aclosed+), including a fix for a security vulnerability.

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_94) on [code.visualstudio.com](https://code.visualstudio.com)."
1.94.0,2024-10-03T17:02:27Z,September 2024,"Welcome to the September 2024 release of Visual Studio Code. There are many updates in this version that we hope you'll like, some of the key highlights include:

* [Find in Explorer](https://code.visualstudio.com/updates/v1_94#_find-in-explorer) - Quickly find files in the Explorer view with the improved Find control.
* [Source Control Graph](https://code.visualstudio.com/updates/v1_94#_source-control) - More filtering options and interactivity in the Source Control Graph.
* [Python test coverage](https://code.visualstudio.com/updates/v1_94#_python) - Run Python tests with coverage and get rich results in the editor.
* [ESM](https://code.visualstudio.com/updates/v1_94#_esm-is-shipping-for-vs-code) - Faster VS Code startup thanks to the migration to ESM.
* [Account preference](https://code.visualstudio.com/updates/v1_94#_change-an-extensions-account-preference) - Specify which account to use for an extension.
* [Copilot in Native REPL](https://code.visualstudio.com/updates/v1_94#_inline-chat-and-completions-in-python-native-repl) - Get code completions and Inline Chat in the Native REPL.
* [Improved chat context](https://code.visualstudio.com/updates/v1_94#_drag-and-drop-files-to-add-chat-context) - Drag & drop files or use IntelliSense for more relevant chat context.
* [Test environment setup](https://code.visualstudio.com/updates/v1_94#_automated-test-setup-override) - Get help with setting up a test framework for your workspace.

>If you'd like to read these release notes online, go to [Updates](https://code.visualstudio.com/updates) on [code.visualstudio.com](https://code.visualstudio.com).
**Insiders:** Want to try new features as soon as possible? You can download the nightly [Insiders](https://code.visualstudio.com/insiders) build and try the latest updates as soon as they are available."
1.93.1,2024-09-12T17:09:57Z,August 2024 Recovery 1,"The update addresses these [issues](https://github.com/issues?q=is%3Aissue+label%3Acandidate+is%3Aclosed+repo%3Amicrosoft%2Fvscode+milestone%3A%22August+2024+Recovery+1%22).

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_93) on [code.visualstudio.com](https://code.visualstudio.com/).

"
1.93.0,2024-09-05T17:09:47Z,August 2024,"Welcome to the August 2024 release of Visual Studio Code. There are many updates in this version that we hope you'll like, some of the key highlights include:

* [Profiles editor](https://code.visualstudio.com/updates/v1_93#_new-profiles-editor) - Switch and manage your profiles from a single place.
* [Django unit test support](https://code.visualstudio.com/updates/v1_93#_django-unit-test-support) - Discover and run Django unit tests from the Test Explorer.
* [IntelliSense on vscode.dev](https://code.visualstudio.com/updates/v1_93#_full-project-intellisense-and-package-typings-on-vscodedev) - Boost your JS & TS coding in vscode.dev with IntelliSense.
* [Notebook diff viewer](https://code.visualstudio.com/updates/v1_93#_show-or-hide-unchanged-cells-in-the-diff-view) - Efficiently review changes in notebooks by collapsing unchanged cells.
* [Resize columns via the keyboard](https://code.visualstudio.com/updates/v1_93#_resize-table-columns-via-the-keyboard) - Resizing table columns in VS Code more accessible via keyboard.
* [Source Control Graph](https://code.visualstudio.com/updates/v1_93#_source-control-graph-view) - Easily hide, collapse, or move the Source Control Graph.
* [GitHub Copilot](https://code.visualstudio.com/updates/v1_93#_github-copilot) - Add context in Quick Chat, improved test generation and chat history.
* [Experiment: Inline Chat](https://code.visualstudio.com/updates/v1_93#_copilot-inline-chat-context) - Use recent coding files for Inline Chat context.

>If you'd like to read these release notes online, go to [Updates](https://code.visualstudio.com/updates) on [code.visualstudio.com](https://code.visualstudio.com).
**Insiders:** Want to try new features as soon as possible? You can download the nightly [Insiders](https://code.visualstudio.com/insiders) build and try the latest updates as soon as they are available.
"
1.92.2,2024-08-15T17:44:40Z,July 2024 Recovery 2,"The update addresses these [issues](https://github.com/issues?q=is%3Aissue+label%3Acandidate+is%3Aclosed+repo%3Amicrosoft%2Fvscode+milestone%3A%22July+2024+Recovery+2%22).

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_92) on [code.visualstudio.com](https://code.visualstudio.com/).

"
1.92.1,2024-08-08T16:22:05Z,July 2024 Recovery 1,"The update addresses these [issues](https://github.com/issues?q=is%3Aissue+label%3Acandidate+is%3Aclosed+repo%3Amicrosoft%2Fvscode+milestone%3A%22July+2024+Recovery+1%22).

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_91) on [code.visualstudio.com](https://code.visualstudio.com/).

"
1.92.0,2024-08-01T17:05:58Z,July 2024,"Welcome to the July 2024 release of Visual Studio Code. There are many updates in this version that we hope you'll like, some of the key highlights include:

- [Default browser](https://code.visualstudio.com/updates/v1_92#_configure-the-browser-to-open-links) - Configure which browser to use for opening links in VS Code.
- [Revert PRs](https://code.visualstudio.com/updates/v1_92#_github-pull-requests-and-issues) - Easily create a revert PR for a merged PR.
- [Extension updates](https://code.visualstudio.com/updates/v1_92#_improved-extension-update-experience) - More easily configure auto updating of extensions.
- [Override profiles](https://code.visualstudio.com/updates/v1_92#_override-existing-profile) - Override an existing profile with the Profiles Editor.
- [Paste files in CSS](https://code.visualstudio.com/updates/v1_92#_paste-and-drop-files-in-css) - Quickly add CSS file references with paste or drag and drop.
- [Move Panel to top](https://code.visualstudio.com/updates/v1_92#_move-panel-to-top) - Position the Panel section at the top of the workbench.
- [Copilot uses GPT - 4o](https://code.visualstudio.com/updates/v1_92#_github-copilot) - GitHub Copilot Chat upgraded to OpenAI's GPT-4o.

>If you'd like to read these release notes online, go to [Updates](https://code.visualstudio.com/updates) on [code.visualstudio.com](https://code.visualstudio.com).
**Insiders:** Want to try new features as soon as possible? You can download the nightly [Insiders](https://code.visualstudio.com/insiders) build and try the latest updates as soon as they are available.

"
1.91.1,2024-07-11T13:39:39Z,June 2024 Recovery 1,"The update addresses these [issues](https://github.com/issues?q=is%3Aissue%20label%3Acandidate%20%20is%3Aclosed%20repo%3Amicrosoft%2Fvscode%20milestone%3A%22June%202024%20Recovery%201%22%20).

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_91) on [code.visualstudio.com](https://code.visualstudio.com/)."
1.91.0,2024-07-03T18:23:00Z,June 2024,"Welcome to the June 2024 release of Visual Studio Code. There are many updates in this version that we hope you'll like, some of the key highlights include:

* [Preview: Incoming/Outgoing changes graph](https://code.visualstudio.com/updates/v1_91#_source-control) - Visualize incoming and outgoing changes in the Source Control view.
* [Python environments](https://code.visualstudio.com/updates/v1_91#_python) - Enhanced environment discovery with python-environment-tools.
* [Smart Send in native REPL](https://code.visualstudio.com/updates/v1_91#_smart-send-in-native-repl) - Smoothly run code chunks in the native REPL.
* [GitHub Copilot extensibility](https://code.visualstudio.com/updates/v1_91#_chat-and-language-model-api) - Chat and Language Model APIs available in VS Code Stable.
* [Preview: Profiles Editor](https://code.visualstudio.com/updates/v1_91#_profiles-editor-preview) - Manage your profiles in a single place.
* [Custom tab labels](https://code.visualstudio.com/updates/v1_91#_access-file-extensions-in-custom-labels) - More variable options and support for multiple extensions.
* [TypeScript 5.5](https://code.visualstudio.com/updates/v1_91#_syntax-checking-for-regular-expressions) - Syntax checking for regular expressions and other language features.
* [JavaScript Debugger](https://code.visualstudio.com/updates/v1_91#_javascript-debugger) - Inspect shadowed variables while debugging JavaScript.

>If you'd like to read these release notes online, go to [Updates](https://code.visualstudio.com/updates) on [code.visualstudio.com](https://code.visualstudio.com).
**Insiders:** Want to try new features as soon as possible? You can download the nightly [Insiders](https://code.visualstudio.com/insiders) build and try the latest updates as soon as they are available."
